iter	Passed	Remaining
0	24	9751
1	50	10097
2	76	10116
3	109	10862
4	137	10832
5	169	11129
6	197	11070
7	231	11346
8	258	11234
9	282	11015
10	309	10934
11	333	10793
12	358	10659
13	383	10584
14	413	10610
15	443	10633
16	468	10565
17	494	10491
18	523	10495
19	554	10534
20	583	10529
21	613	10538
22	648	10625
23	675	10580
24	702	10535
25	729	10489
26	754	10418
27	782	10395
28	813	10409
29	842	10385
30	888	10574
31	948	10905
32	981	10913
33	1009	10866
34	1037	10819
35	1071	10834
36	1105	10850
37	1134	10810
38	1167	10808
39	1199	10794
40	1229	10763
41	1255	10703
42	1283	10652
43	1314	10637
44	1346	10623
45	1375	10584
46	1409	10587
47	1439	10552
48	1470	10531
49	1499	10493
50	1529	10469
51	1558	10427
52	1590	10412
53	1622	10398
54	1652	10364
55	1679	10318
56	1714	10319
57	1742	10277
58	1771	10240
59	1804	10225
60	1831	10180
61	1858	10131
62	1892	10122
63	1922	10093
64	1951	10055
65	1980	10022
66	2015	10019
67	2044	9982
68	2073	9948
69	2107	9934
70	2140	9919
71	2172	9895
72	2202	9868
73	2232	9834
74	2281	9884
75	2310	9850
76	2340	9816
77	2367	9773
78	2402	9763
79	2429	9719
80	2463	9701
81	2496	9679
82	2534	9680
83	2568	9661
84	2605	9657
85	2638	9632
86	2682	9651
87	2715	9628
88	2747	9599
89	2773	9554
90	2806	9530
91	2832	9483
92	2866	9463
93	2899	9439
94	2927	9399
95	2958	9367
96	2991	9344
97	3018	9301
98	3049	9271
99	3077	9233
100	3131	9271
101	3164	9245
102	3196	9218
103	3226	9183
104	3256	9148
105	3286	9114
106	3324	9103
107	3351	9062
108	3383	9033
109	3416	9006
110	3442	8962
111	3469	8921
112	3500	8889
113	3525	8844
114	3558	8817
115	3586	8779
116	3617	8750
117	3644	8709
118	3700	8737
119	3739	8724
120	3771	8697
121	3799	8656
122	3828	8621
123	3855	8580
124	3883	8543
125	3916	8516
126	3944	8479
127	3970	8436
128	4005	8415
129	4035	8380
130	4063	8344
131	4093	8310
132	4125	8282
133	4154	8246
134	4183	8212
135	4212	8176
136	4246	8152
137	4275	8117
138	4304	8082
139	4342	8064
140	4386	8056
141	4424	8038
142	4462	8019
143	4492	7985
144	4520	7950
145	4553	7920
146	4583	7887
147	4609	7848
148	4639	7816
149	4669	7783
150	4697	7746
151	4724	7708
152	4762	7687
153	4790	7651
154	4820	7619
155	4853	7591
156	4884	7560
157	4911	7522
158	4942	7491
159	4971	7456
160	4999	7422
161	5029	7388
162	5063	7362
163	5092	7328
164	5119	7291
165	5151	7261
166	5182	7230
167	5209	7194
168	5240	7163
169	5286	7152
170	5317	7121
171	5344	7085
172	5375	7053
173	5402	7016
174	5432	6984
175	5460	6949
176	5509	6941
177	5539	6908
178	5566	6872
179	5597	6841
180	5623	6803
181	5651	6769
182	5679	6734
183	5708	6701
184	5735	6666
185	5762	6629
186	5797	6604
187	5826	6569
188	5853	6534
189	5882	6501
190	5913	6471
191	5939	6434
192	5968	6401
193	6002	6373
194	6032	6341
195	6062	6309
196	6094	6279
197	6121	6245
198	6150	6212
199	6183	6183
200	6211	6149
201	6237	6114
202	6266	6081
203	6296	6049
204	6324	6015
205	6351	5981
206	6385	5954
207	6413	5919
208	6442	5887
209	6473	5857
210	6503	5825
211	6531	5792
212	6562	5761
213	6591	5728
214	6617	5694
215	6643	5659
216	6677	5631
217	6706	5599
218	6734	5565
219	6772	5541
220	6804	5511
221	6831	5477
222	6858	5443
223	6891	5414
224	6951	5406
225	6988	5380
226	7016	5347
227	7042	5312
228	7073	5281
229	7104	5251
230	7134	5219
231	7164	5187
232	7199	5159
233	7227	5126
234	7272	5106
235	7308	5078
236	7344	5051
237	7378	5022
238	7416	4995
239	7479	4986
240	7520	4961
241	7557	4934
242	7596	4908
243	7625	4875
244	7652	4841
245	7678	4807
246	7712	4777
247	7742	4745
248	7771	4713
249	7799	4679
250	7837	4652
251	7872	4623
252	7911	4596
253	7955	4572
254	7994	4545
255	8027	4515
256	8061	4485
257	8094	4454
258	8127	4424
259	8162	4395
260	8196	4365
261	8227	4333
262	8262	4303
263	8292	4271
264	8322	4239
265	8355	4208
266	8389	4179
267	8422	4148
268	8462	4121
269	8499	4092
270	8543	4066
271	8594	4044
272	8627	4013
273	8663	3984
274	8695	3952
275	8723	3919
276	8755	3887
277	8791	3858
278	8827	3828
279	8860	3797
280	8893	3766
281	8924	3734
282	8960	3704
283	8991	3672
284	9026	3642
285	9060	3611
286	9093	3580
287	9120	3546
288	9150	3514
289	9182	3483
290	9214	3451
291	9244	3419
292	9276	3387
293	9305	3355
294	9335	3322
295	9365	3290
296	9397	3259
297	9424	3225
298	9457	3194
299	9486	3162
300	9516	3130
301	9543	3096
302	9578	3066
303	9616	3036
304	9652	3006
305	9682	2974
306	9714	2942
307	9741	2909
308	9774	2878
309	9801	2845
310	9833	2814
311	9863	2782
312	9900	2751
313	9929	2719
314	9959	2687
315	9988	2655
316	10024	2624
317	10057	2593
318	10119	2569
319	10159	2539
320	10192	2508
321	10224	2476
322	10261	2446
323	10289	2413
324	10317	2380
325	10347	2348
326	10381	2317
327	10411	2285
328	10452	2255
329	10489	2224
330	10520	2193
331	10550	2161
332	10577	2128
333	10607	2096
334	10634	2063
335	10666	2031
336	10695	1999
337	10719	1966
338	10751	1934
339	10781	1902
340	10811	1870
341	10837	1837
342	10871	1806
343	10898	1774
344	10926	1741
345	10974	1712
346	11026	1684
347	11075	1654
348	11111	1623
349	11147	1592
350	11185	1561
351	11217	1529
352	11253	1498
353	11286	1466
354	11319	1434
355	11367	1405
356	11410	1374
357	11445	1342
358	11484	1311
359	11514	1279
360	11546	1247
361	11592	1216
362	11626	1185
363	11664	1153
364	11700	1121
365	11730	1089
366	11763	1057
367	11812	1027
368	11847	995
369	11873	962
370	11903	930
371	11932	898
372	11964	866
373	11993	833
374	12024	801
375	12049	769
376	12081	737
377	12108	704
378	12139	672
379	12171	640
380	12204	608
381	12235	576
382	12263	544
383	12290	512
384	12324	480
385	12363	448
386	12400	416
387	12432	384
388	12468	352
389	12503	320
390	12540	288
391	12570	256
392	12598	224
393	12626	192
394	12662	160
395	12690	128
396	12721	96
397	12749	64
398	12779	32
399	12810	0
