month_period,id,masterId,propertyId,roomId,numChild,price,commission,range_booking_arrival,num_of_nights,price_per_day,year,month,year_month,used_room_nights,leftover_rooms
2022-06,31831080.5,57630054.20018536,158986.0,350455.0,0.0,525000.0,117075.0,1.0,2.0,262500.0,2022,6,2022_06,4.0,236.0
2022-07,32790465.0,57630054.200185366,158986.0,350455.0,0.0,615581.5454545454,103569.63636363635,0.5454545454545454,2.272727272727273,254484.18181818185,2022,7,2022_07,57.0,191.0
2022-08,33589452.64864865,53087877.02717732,158986.0,350455.0,0.054054054054054,564954.0540540541,114685.67567567568,1.108108108108108,2.027027027027027,279558.4459459459,2022,8,2022_08,98.0,150.0
2022-09,34474862.73076923,57630054.20018535,158986.0,350455.0,0.0,452721.6923076923,91902.53846153848,1.0,3.0,200518.0476190476,2022,9,2022_09,72.0,168.0
2022-10,35141282.853658535,57085685.780668646,158986.0,350455.0,0.0,469944.512195122,100916.14634146342,1.2439024390243902,2.2439024390243905,225499.48170731709,2022,10,2022_10,102.0,146.0
2022-11,35988632.428571425,55558323.46683437,158986.0,350455.0,0.0,438426.1904761905,89000.52380952382,1.5238095238095235,2.0476190476190474,223216.66666666663,2022,11,2022_11,65.0,175.0
2022-12,36481798.2631579,51914907.30539974,158986.0,350455.0,0.0,881620.8947368421,178969.05263157896,9.736842105263158,3.526315789473684,253832.7975708502,2022,12,2022_12,97.0,151.0
2023-01,37184048.84210526,56567796.66333349,158986.0,350455.0,0.0,332865.7894736842,67571.73684210527,10.68421052631579,2.0,207146.4912280702,2023,1,2023_01,44.0,204.0
2023-02,37671492.875,55141789.17516219,158986.0,350455.0,0.0,775218.75,157369.25,25.625,4.0,216838.06818181815,2023,2,2023_02,40.0,184.0
2023-03,39632186.13793104,53943843.5725608,158986.0,350455.0,0.0,428241.3793103448,79233.0,0.5517241379310345,2.931034482758621,195752.08412277375,2023,3,2023_03,110.0,138.0
2023-04,40774348.5,57630054.20018536,158986.0,350455.0,0.0,407833.3333333333,82790.33333333333,3.6666666666666665,1.8333333333333333,241166.66666666663,2023,4,2023_04,93.0,147.0
2023-05,41983576.51111111,57281697.151292354,158986.0,350455.0,0.0,859827.2222222222,174545.04444444444,3.2888888888888888,3.022222222222222,291269.85185185185,2023,5,2023_05,179.0,69.0
2023-06,42928410.78787879,56282150.45471396,158986.0,350455.0,0.0,667375.2424242424,135477.13636363635,6.893939393939394,2.363636363636364,284526.81944444444,2023,6,2023_06,204.0,36.0
2023-07,44175639.22857143,56667665.00017212,158986.0,350455.0,0.0428571428571428,1076798.2571428572,218590.08571428573,4.971428571428572,2.571428571428572,438888.63581632654,2023,7,2023_07,208.0,40.0
2023-08,44705167.20987655,56324402.61251273,158986.0,350455.0,0.0246913580246913,1195109.4320987654,242607.22222222225,18.160493827160494,2.888888888888889,410066.6161081717,2023,8,2023_08,247.0,1.0
2023-09,46284853.66666666,56680126.517503865,158986.0,350455.0,0.0,981565.8133333334,199257.92,5.293333333333333,2.6,391269.7586666666,2023,9,2023_09,226.0,14.0
2023-10,47366411.7,56916242.12874354,158986.0,350455.0,0.0,845114.1285714286,171558.1857142857,2.0142857142857142,2.4571428571428573,354497.2116246499,2023,10,2023_10,214.0,34.0
2023-11,48362491.54545455,57196700.50926784,158986.0,350455.0,0.0,595681.3636363636,120923.36363636365,1.5,2.1818181818181817,271962.1022727273,2023,11,2023_11,89.0,151.0
2023-12,49454270.73333333,56270246.66682113,158986.0,350455.0,0.0333333333333333,712525.5,144642.66666666666,1.8666666666666667,2.6,268424.975,2023,12,2023_12,140.0,108.0
2024-01,50268328.18367347,55982734.91034784,158986.0,350455.0,0.0,435598.1428571429,88426.57142857143,2.7755102040816326,1.959183673469388,218684.0787172012,2024,1,2024_01,154.0,94.0
2024-02,51293774.5625,57630054.20018536,158986.0,350455.0,0.0,535318.53125,108669.53125,4.375,2.40625,230213.05580357145,2024,2,2024_02,133.0,99.0
2024-03,52594274.88235294,57336603.3942921,158986.0,350455.0,0.0294117647058823,929765.5294117648,188742.4705882353,3.411764705882353,3.852941176470588,253769.447932114,2024,3,2024_03,194.0,54.0
2024-04,53877992.29166666,57311285.41266992,158986.0,350455.0,0.0,567756.3958333334,115254.5625,3.1875,2.125,268764.94444444444,2024,4,2024_04,202.0,38.0
2024-05,55032832.18333333,57579512.030182265,158986.0,350455.0,0.0333333333333333,815039.3833333333,165452.96666666667,1.6333333333333333,2.3833333333333333,352256.38611111115,2024,5,2024_05,180.0,68.0
2024-06,56360034.03571428,57560821.95731829,158986.0,350455.0,0.0,1036944.0714285716,210499.625,1.9107142857142856,2.892857142857143,350078.7085104875,2024,6,2024_06,168.0,72.0
2024-07,57750480.25,57667751.58585993,158986.0,350455.0,0.1071428571428571,1623679.5357142857,329606.96428571426,3.928571428571429,3.107142857142857,543844.7442472641,2024,7,2024_07,233.0,15.0
2024-08,58571193.2987013,57687870.92484624,158986.0,350455.0,0.0389610389610389,1854291.5324675324,382712.3766233766,11.948051948051948,2.831168831168831,677183.95572047,2024,8,2024_08,236.0,12.0
2024-09,60232072.953125,57801599.32829878,158986.0,350455.0,0.0,1249290.46875,253605.9375,3.578125,2.8125,445687.28504464286,2024,9,2024_09,220.0,20.0
2024-10,61378705.82758621,58189212.96222557,158986.0,350455.0,0.0,787950.6206896552,159953.93103448275,2.189655172413793,2.155172413793104,375152.8411330049,2024,10,2024_10,158.0,90.0
2024-11,62505475.19444445,58165363.06683143,158986.0,350455.0,0.0,702308.9166666666,142568.55555555556,1.9722222222222223,2.333333333333333,306072.6180555556,2024,11,2024_11,89.0,151.0
2024-12,63392856.75,57630054.20018536,158986.0,350455.0,0.0,1218279.5,247310.75,6.625,3.875,335240.7767857143,2024,12,2024_12,63.0,185.0
2025-01,64757299.70731708,58149120.039196186,158986.0,350455.0,0.024390243902439,706485.0,139756.82926829267,1.902439024390244,3.317073170731707,231363.40977932635,2025,1,2025_01,169.0,79.0
2025-02,65854466.03571428,57630054.20018536,158986.0,350455.0,0.0,889880.6428571428,180645.7857142857,5.964285714285714,3.892857142857143,245851.02108843537,2025,2,2025_02,174.0,50.0
2025-03,67150959.1875,58853165.77932885,158986.0,350455.0,0.0,527299.9583333334,107041.9375,5.291666666666667,2.2916666666666665,238758.4701388889,2025,3,2025_03,185.0,63.0
