id,propertyId,name,roomType,qty,minPrice,minStay,maxStay,restrictionStrategy,maxPeople,maxAdult,maxChildren,taxPercentage,taxPerson,rackRate,cleaningFee,securityDeposit,sellPriority,roomSize,highlightColor,includeInReports,overbookingProtection,blockAfterCheckOutDays,controlPriority,dependencies,templates,unitAllocation,unallocatedUnit,units,featureCodes
350455,158986,Double Room with Terrace,double,8,250000,,365,stayThrough,4,,,0,0,0,0,0,5.0,36.0,ffffff,True,property,0,5,"{'includeSubDependencies': False, 'combinationLogic': {'type': 'sumAllBookings'}, 'dependentRoomId1': None, 'dependentRoomId2': None, 'dependentRoomId3': None, 'dependentRoomId4': None, 'dependentRoomId5': None, 'dependentRoomId6': None, 'dependentRoomId7': None, 'dependentRoomId8': None, 'dependentRoomId9': None, 'dependentRoomId10': None, 'dependentRoomId11': None, 'dependentRoomId12': None, 'includeBookingsRoomId1': None, 'includeBookingsRoomId2': None, 'includeBookingsRoomId3': None, 'includeBookingsRoomId4': None, 'includeBookingsRoomId5': None, 'includeBookingsRoomId6': None, 'includeBookingsRoomId7': None, 'includeBookingsRoomId8': None, 'includeBookingsRoomId9': None, 'includeBookingsRoomId10': None, 'includeBookingsRoomId11': None, 'includeBookingsRoomId12': None, 'assignBookingsTo': {'type': 'thisRoom'}}","{'template1': '', 'template2': '', 'template3': '', 'template4': '', 'template5': '', 'template6': '', 'template7': '', 'template8': ''}",perBooking,{'name': ''},"[{'id': 1, 'name': '01', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 2, 'name': '02', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 3, 'name': '03', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 4, 'name': '04', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 5, 'name': '05', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 6, 'name': '06', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 7, 'name': '07', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 8, 'name': '08', 'statusText': '', 'statusColor': None, 'notes': ''}]","[['SHAMPOO'], ['TOWELS'], ['BREAKFAST_POSSIBLE'], ['BREAKFAST_INCLUDED'], ['BREAKFAST_IN_ROOM'], ['VILLAGE'], ['AIRPORT_SHUTTLE'], ['CAR_AVAILABLE'], ['STAFF'], ['BAGGAGE_STORAGE'], ['FISHING'], ['BICYCLE'], ['SCUBA_OR_SNORKELING'], ['HORSE_RIDING'], ['SAFE'], ['AIR_CONDITIONING'], ['TOILETRIES'], ['BEDROOM', 'BED_DOUBLE'], ['BATHROOM', 'BATH_SHOWER', 'BATH_TOILET'], ['FIRE_EXTINGUISHER'], ['LINENS'], ['DECK_PATIO_UNCOVERED'], ['HAIR_DRYER'], ['TV'], ['SATELLITE'], ['WIFI'], ['KETTLE'], ['CLEANING_POSSIBLE'], ['CLEANING_INCLUDED'], ['BOAT']]"
350464,158990,Superior Bungalow,bungalow,5,0,,365,stayThrough,2,,,0,0,250000,0,0,5.0,16.0,ffffff,True,property,0,7,"{'includeSubDependencies': False, 'combinationLogic': {'type': 'sumAllBookings'}, 'dependentRoomId1': None, 'dependentRoomId2': None, 'dependentRoomId3': None, 'dependentRoomId4': None, 'dependentRoomId5': None, 'dependentRoomId6': None, 'dependentRoomId7': None, 'dependentRoomId8': None, 'dependentRoomId9': None, 'dependentRoomId10': None, 'dependentRoomId11': None, 'dependentRoomId12': None, 'includeBookingsRoomId1': None, 'includeBookingsRoomId2': None, 'includeBookingsRoomId3': None, 'includeBookingsRoomId4': None, 'includeBookingsRoomId5': None, 'includeBookingsRoomId6': None, 'includeBookingsRoomId7': None, 'includeBookingsRoomId8': None, 'includeBookingsRoomId9': None, 'includeBookingsRoomId10': None, 'includeBookingsRoomId11': None, 'includeBookingsRoomId12': None, 'assignBookingsTo': {'type': 'thisRoom'}}","{'template1': '', 'template2': '', 'template3': '', 'template4': '', 'template5': '', 'template6': '', 'template7': '', 'template8': ''}",perBooking,{'name': ''},"[{'id': 1, 'name': '01', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 2, 'name': '03', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 3, 'name': '04', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 4, 'name': '05', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 5, 'name': '06', 'statusText': '', 'statusColor': None, 'notes': ''}]","[['BALCONY'], ['SITTING_AREA'], ['AIR_CONDITIONING'], ['TOWELS'], ['SAFE'], ['DECK_PATIO_UNCOVERED'], ['TOILETRIES'], ['RESTAURANT'], ['BREAKFAST_INCLUDED'], ['WIFI'], ['DINING_AREA'], ['BEACH_FRONT'], ['BEACH_VIEW'], ['BEACH'], ['AIRPORT_SHUTTLE'], ['BAGGAGE_STORAGE'], ['BAR'], ['BICYCLE'], ['SCUBA_OR_SNORKELING'], ['MOUNTAIN_BIKING'], ['CYCLING'], ['LINENS'], ['GARDEN'], ['BEDROOM', 'BED_DOUBLE'], ['BATHROOM', 'BATH_SHOWER', 'BATH_TOILET']]"
462631,158990,Superior Single,single,1,0,,365,stayThrough,1,,,0,0,250000,0,0,5.0,,ffffff,True,property,0,5,"{'includeSubDependencies': False, 'combinationLogic': {'type': 'sumAllBookings'}, 'dependentRoomId1': None, 'dependentRoomId2': None, 'dependentRoomId3': None, 'dependentRoomId4': None, 'dependentRoomId5': None, 'dependentRoomId6': None, 'dependentRoomId7': None, 'dependentRoomId8': None, 'dependentRoomId9': None, 'dependentRoomId10': None, 'dependentRoomId11': None, 'dependentRoomId12': None, 'includeBookingsRoomId1': None, 'includeBookingsRoomId2': None, 'includeBookingsRoomId3': None, 'includeBookingsRoomId4': None, 'includeBookingsRoomId5': None, 'includeBookingsRoomId6': None, 'includeBookingsRoomId7': None, 'includeBookingsRoomId8': None, 'includeBookingsRoomId9': None, 'includeBookingsRoomId10': None, 'includeBookingsRoomId11': None, 'includeBookingsRoomId12': None, 'assignBookingsTo': {'type': 'thisRoom'}}","{'template1': '', 'template2': '', 'template3': '', 'template4': '', 'template5': '', 'template6': '', 'template7': '', 'template8': ''}",perBooking,{'name': ''},"[{'id': 1, 'name': '02', 'statusText': '', 'statusColor': None, 'notes': ''}]","[['SITTING_AREA'], ['AIR_CONDITIONING'], ['TOWELS'], ['SAFE'], ['DECK_PATIO_UNCOVERED'], ['TOILETRIES'], ['RESTAURANT'], ['BREAKFAST_INCLUDED'], ['WIFI'], ['DINING_AREA'], ['BEACH_FRONT'], ['BEACH_VIEW'], ['BEACH'], ['AIRPORT_SHUTTLE'], ['BAGGAGE_STORAGE'], ['BAR'], ['BICYCLE'], ['SCUBA_OR_SNORKELING'], ['MOUNTAIN_BIKING'], ['CYCLING'], ['LINENS'], ['GARDEN'], ['BATHROOM', 'BATH_SHOWER', 'BATH_TOILET'], ['BEDROOM', 'BED_SINGLE']]"
462632,158990,Deluxe Room,double,4,0,,365,stayThrough,2,,,0,0,250000,0,0,5.0,16.0,ffffff,True,property,0,3,"{'includeSubDependencies': False, 'combinationLogic': {'type': 'sumAllBookings'}, 'dependentRoomId1': None, 'dependentRoomId2': None, 'dependentRoomId3': None, 'dependentRoomId4': None, 'dependentRoomId5': None, 'dependentRoomId6': None, 'dependentRoomId7': None, 'dependentRoomId8': None, 'dependentRoomId9': None, 'dependentRoomId10': None, 'dependentRoomId11': None, 'dependentRoomId12': None, 'includeBookingsRoomId1': None, 'includeBookingsRoomId2': None, 'includeBookingsRoomId3': None, 'includeBookingsRoomId4': None, 'includeBookingsRoomId5': None, 'includeBookingsRoomId6': None, 'includeBookingsRoomId7': None, 'includeBookingsRoomId8': None, 'includeBookingsRoomId9': None, 'includeBookingsRoomId10': None, 'includeBookingsRoomId11': None, 'includeBookingsRoomId12': None, 'assignBookingsTo': {'type': 'thisRoom'}}","{'template1': '', 'template2': '', 'template3': '', 'template4': '', 'template5': '', 'template6': '', 'template7': '', 'template8': ''}",perBooking,{'name': ''},"[{'id': 1, 'name': '08', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 2, 'name': '09', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 3, 'name': '10', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 4, 'name': '11', 'statusText': '', 'statusColor': None, 'notes': ''}]","[['BALCONY'], ['SITTING_AREA'], ['AIR_CONDITIONING'], ['TOWELS'], ['SAFE'], ['DECK_PATIO_UNCOVERED'], ['TOILETRIES'], ['RESTAURANT'], ['BREAKFAST_INCLUDED'], ['WIFI'], ['DINING_AREA'], ['BEACH_FRONT'], ['BEACH_VIEW'], ['BEACH'], ['AIRPORT_SHUTTLE'], ['BAGGAGE_STORAGE'], ['BAR'], ['BICYCLE'], ['SCUBA_OR_SNORKELING'], ['MOUNTAIN_BIKING'], ['CYCLING'], ['LINENS'], ['GARDEN'], ['BEDROOM', 'BED_DOUBLE'], ['BATHROOM', 'BATH_SHOWER', 'BATH_TOILET']]"
462634,158990,Wooden Deluxe Bungalow,double,2,0,,365,stayThrough,2,,,0,0,250000,0,0,5.0,,ffffff,True,property,0,1,"{'includeSubDependencies': False, 'combinationLogic': {'type': 'sumAllBookings'}, 'dependentRoomId1': None, 'dependentRoomId2': None, 'dependentRoomId3': None, 'dependentRoomId4': None, 'dependentRoomId5': None, 'dependentRoomId6': None, 'dependentRoomId7': None, 'dependentRoomId8': None, 'dependentRoomId9': None, 'dependentRoomId10': None, 'dependentRoomId11': None, 'dependentRoomId12': None, 'includeBookingsRoomId1': None, 'includeBookingsRoomId2': None, 'includeBookingsRoomId3': None, 'includeBookingsRoomId4': None, 'includeBookingsRoomId5': None, 'includeBookingsRoomId6': None, 'includeBookingsRoomId7': None, 'includeBookingsRoomId8': None, 'includeBookingsRoomId9': None, 'includeBookingsRoomId10': None, 'includeBookingsRoomId11': None, 'includeBookingsRoomId12': None, 'assignBookingsTo': {'type': 'thisRoom'}}","{'template1': '', 'template2': '', 'template3': '', 'template4': '', 'template5': '', 'template6': '', 'template7': '', 'template8': ''}",perBooking,{'name': ''},"[{'id': 1, 'name': '12', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 2, 'name': '13', 'statusText': '', 'statusColor': None, 'notes': ''}]","[['BALCONY'], ['SITTING_AREA'], ['AIR_CONDITIONING'], ['TOWELS'], ['SAFE'], ['DECK_PATIO_UNCOVERED'], ['TOILETRIES'], ['RESTAURANT'], ['BREAKFAST_INCLUDED'], ['WIFI'], ['DINING_AREA'], ['BEACH_FRONT'], ['BEACH_VIEW'], ['BEACH'], ['AIRPORT_SHUTTLE'], ['BAGGAGE_STORAGE'], ['BAR'], ['BICYCLE'], ['SCUBA_OR_SNORKELING'], ['MOUNTAIN_BIKING'], ['CYCLING'], ['LINENS'], ['GARDEN'], ['BEDROOM', 'BED_DOUBLE'], ['BATHROOM', 'BATH_SHOWER', 'BATH_TOILET']]"
502851,158990,Deluxe Bungalow,double,1,0,,365,stayThrough,2,,,0,0,0,0,0,5.0,16.0,ffffff,True,room,0,6,"{'includeSubDependencies': False, 'combinationLogic': {'type': 'sumAllBookings'}, 'dependentRoomId1': None, 'dependentRoomId2': None, 'dependentRoomId3': None, 'dependentRoomId4': None, 'dependentRoomId5': None, 'dependentRoomId6': None, 'dependentRoomId7': None, 'dependentRoomId8': None, 'dependentRoomId9': None, 'dependentRoomId10': None, 'dependentRoomId11': None, 'dependentRoomId12': None, 'includeBookingsRoomId1': None, 'includeBookingsRoomId2': None, 'includeBookingsRoomId3': None, 'includeBookingsRoomId4': None, 'includeBookingsRoomId5': None, 'includeBookingsRoomId6': None, 'includeBookingsRoomId7': None, 'includeBookingsRoomId8': None, 'includeBookingsRoomId9': None, 'includeBookingsRoomId10': None, 'includeBookingsRoomId11': None, 'includeBookingsRoomId12': None, 'assignBookingsTo': {'type': 'thisRoom'}}","{'template1': '', 'template2': '', 'template3': '', 'template4': '', 'template5': '', 'template6': '', 'template7': '', 'template8': ''}",perBooking,{'name': ''},"[{'id': 1, 'name': '07', 'statusText': '', 'statusColor': None, 'notes': ''}]",[]
354680,161014,King Room with Balcony,double,1,0,,365,stayThrough,2,,,0,0,600000,0,0,5.0,,ffffff,True,property,0,2,"{'includeSubDependencies': False, 'combinationLogic': {'type': 'sumAllBookings'}, 'dependentRoomId1': None, 'dependentRoomId2': None, 'dependentRoomId3': None, 'dependentRoomId4': None, 'dependentRoomId5': None, 'dependentRoomId6': None, 'dependentRoomId7': None, 'dependentRoomId8': None, 'dependentRoomId9': None, 'dependentRoomId10': None, 'dependentRoomId11': None, 'dependentRoomId12': None, 'includeBookingsRoomId1': None, 'includeBookingsRoomId2': None, 'includeBookingsRoomId3': None, 'includeBookingsRoomId4': None, 'includeBookingsRoomId5': None, 'includeBookingsRoomId6': None, 'includeBookingsRoomId7': None, 'includeBookingsRoomId8': None, 'includeBookingsRoomId9': None, 'includeBookingsRoomId10': None, 'includeBookingsRoomId11': None, 'includeBookingsRoomId12': None, 'assignBookingsTo': {'type': 'thisRoom'}}","{'template1': '', 'template2': '', 'template3': '', 'template4': '', 'template5': '', 'template6': '', 'template7': '', 'template8': ''}",perBooking,{'name': ''},"[{'id': 1, 'name': '10', 'statusText': '', 'statusColor': None, 'notes': ''}]","[['BEDROOM', 'BED_DOUBLE'], ['BATHROOM', 'BATH_SHOWER', 'BATH_TOILET'], ['BALCONY'], ['SHAMPOO'], ['LINENS'], ['AIR_CONDITIONING'], ['HAIR_DRYER'], ['TOILETRIES'], ['TOWELS'], ['SAFE'], ['DESK'], ['LAPTOP_FRIENDLY'], ['TV'], ['SATELLITE'], ['WIFI'], ['REFRIGERATOR'], ['KETTLE'], ['COFFEE_MAKER'], ['HANGERS'], ['BREAKFAST_POSSIBLE']]"
354681,161014,King Room with Pool View,double,1,0,,365,stayThrough,2,,,0,0,500000,0,0,5.0,,ffffff,True,property,0,4,"{'includeSubDependencies': False, 'combinationLogic': {'type': 'sumAllBookings'}, 'dependentRoomId1': None, 'dependentRoomId2': None, 'dependentRoomId3': None, 'dependentRoomId4': None, 'dependentRoomId5': None, 'dependentRoomId6': None, 'dependentRoomId7': None, 'dependentRoomId8': None, 'dependentRoomId9': None, 'dependentRoomId10': None, 'dependentRoomId11': None, 'dependentRoomId12': None, 'includeBookingsRoomId1': None, 'includeBookingsRoomId2': None, 'includeBookingsRoomId3': None, 'includeBookingsRoomId4': None, 'includeBookingsRoomId5': None, 'includeBookingsRoomId6': None, 'includeBookingsRoomId7': None, 'includeBookingsRoomId8': None, 'includeBookingsRoomId9': None, 'includeBookingsRoomId10': None, 'includeBookingsRoomId11': None, 'includeBookingsRoomId12': None, 'assignBookingsTo': {'type': 'thisRoom'}}","{'template1': '', 'template2': '', 'template3': '', 'template4': '', 'template5': '', 'template6': '', 'template7': '', 'template8': ''}",perBooking,{'name': ''},"[{'id': 1, 'name': '05', 'statusText': '', 'statusColor': None, 'notes': ''}]","[['BEDROOM', 'BED_DOUBLE'], ['BATHROOM', 'BATH_SHOWER', 'BATH_TOILET'], ['SHAMPOO'], ['LINENS'], ['AIR_CONDITIONING'], ['HAIR_DRYER'], ['TOILETRIES'], ['TOWELS'], ['SAFE'], ['DESK'], ['LAPTOP_FRIENDLY'], ['TV'], ['SATELLITE'], ['WIFI'], ['REFRIGERATOR'], ['KETTLE'], ['COFFEE_MAKER'], ['HANGERS'], ['DECK_PATIO_UNCOVERED'], ['BREAKFAST_POSSIBLE']]"
354682,161014,Deluxe Double or Twin Room with Pool Access,double,4,0,,365,stayThrough,2,,,0,0,490000,0,0,5.0,,ffffff,True,property,0,5,"{'includeSubDependencies': False, 'combinationLogic': {'type': 'sumAllBookings'}, 'dependentRoomId1': None, 'dependentRoomId2': None, 'dependentRoomId3': None, 'dependentRoomId4': None, 'dependentRoomId5': None, 'dependentRoomId6': None, 'dependentRoomId7': None, 'dependentRoomId8': None, 'dependentRoomId9': None, 'dependentRoomId10': None, 'dependentRoomId11': None, 'dependentRoomId12': None, 'includeBookingsRoomId1': None, 'includeBookingsRoomId2': None, 'includeBookingsRoomId3': None, 'includeBookingsRoomId4': None, 'includeBookingsRoomId5': None, 'includeBookingsRoomId6': None, 'includeBookingsRoomId7': None, 'includeBookingsRoomId8': None, 'includeBookingsRoomId9': None, 'includeBookingsRoomId10': None, 'includeBookingsRoomId11': None, 'includeBookingsRoomId12': None, 'assignBookingsTo': {'type': 'thisRoom'}}","{'template1': '', 'template2': '', 'template3': '', 'template4': '', 'template5': '', 'template6': '', 'template7': '', 'template8': ''}",perBooking,{'name': ''},"[{'id': 1, 'name': '01', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 2, 'name': '02', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 3, 'name': '03', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 4, 'name': '04', 'statusText': '', 'statusColor': None, 'notes': ''}]","[['BEDROOM', 'BED_DOUBLE'], ['BATHROOM', 'BATH_SHOWER', 'BATH_TOILET'], ['SHAMPOO'], ['LINENS'], ['AIR_CONDITIONING'], ['HAIR_DRYER'], ['TOILETRIES'], ['TOWELS'], ['SAFE'], ['DESK'], ['LAPTOP_FRIENDLY'], ['TV'], ['SATELLITE'], ['WIFI'], ['REFRIGERATOR'], ['KETTLE'], ['COFFEE_MAKER'], ['HANGERS'], ['DECK_PATIO_UNCOVERED'], ['BREAKFAST_POSSIBLE']]"
354683,161014,Deluxe Double or Twin Room with Balcony,double,4,0,,365,stayThrough,2,,,0,0,480000,0,0,5.0,,ffffff,True,property,0,3,"{'includeSubDependencies': False, 'combinationLogic': {'type': 'sumAllBookings'}, 'dependentRoomId1': None, 'dependentRoomId2': None, 'dependentRoomId3': None, 'dependentRoomId4': None, 'dependentRoomId5': None, 'dependentRoomId6': None, 'dependentRoomId7': None, 'dependentRoomId8': None, 'dependentRoomId9': None, 'dependentRoomId10': None, 'dependentRoomId11': None, 'dependentRoomId12': None, 'includeBookingsRoomId1': None, 'includeBookingsRoomId2': None, 'includeBookingsRoomId3': None, 'includeBookingsRoomId4': None, 'includeBookingsRoomId5': None, 'includeBookingsRoomId6': None, 'includeBookingsRoomId7': None, 'includeBookingsRoomId8': None, 'includeBookingsRoomId9': None, 'includeBookingsRoomId10': None, 'includeBookingsRoomId11': None, 'includeBookingsRoomId12': None, 'assignBookingsTo': {'type': 'thisRoom'}}","{'template1': '', 'template2': '', 'template3': '', 'template4': '', 'template5': '', 'template6': '', 'template7': '', 'template8': ''}",perBooking,{'name': ''},"[{'id': 1, 'name': '06', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 2, 'name': '07', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 3, 'name': '08', 'statusText': '', 'statusColor': None, 'notes': ''}, {'id': 4, 'name': '09', 'statusText': '', 'statusColor': None, 'notes': ''}]","[['BEDROOM', 'BED_DOUBLE'], ['BATHROOM', 'BATH_SHOWER', 'BATH_TOILET'], ['SHAMPOO'], ['LINENS'], ['AIR_CONDITIONING'], ['HAIR_DRYER'], ['TOILETRIES'], ['TOWELS'], ['SAFE'], ['DESK'], ['LAPTOP_FRIENDLY'], ['TV'], ['SATELLITE'], ['WIFI'], ['REFRIGERATOR'], ['KETTLE'], ['COFFEE_MAKER'], ['HANGERS'], ['DECK_PATIO_UNCOVERED'], ['BALCONY'], ['BREAKFAST_POSSIBLE']]"
